Method,Category Acc,Policy Acc,Combined,Latency (ms),Size
CRT + Learned (Ours),1.0,1.0,1.0,0.017267465591430664,303 KB
Heuristic Policies,1.0,0.31645569620253167,0.6582278481012658,0.3,0 KB
NLI,0.3,0.379746835443038,0.339873417721519,0.9,0 KB
Override,0.2875,0.379746835443038,0.333623417721519,0.8,50 KB
Stateless,0.2625,0.0,0.13125,0.2,0 KB
