Model,Train_Acc,Val_Acc,Test_Acc,Cross_Val_Mean,Cross_Val_Std
Logistic Regression,0.902834008097166,0.9390243902439024,0.8734177215189873,0.8868571428571428,0.02638945178187248
Random Forest,0.9878542510121457,0.975609756097561,1.0,0.8949387755102041,0.03664897027303957
XGBoost,1.0,1.0,1.0,0.8787755102040815,0.05547778164778911
