Model,Action,Precision,Recall,F1,Support
Logistic Regression,OVERRIDE,0.7941176470588235,0.9,0.84375,30
Logistic Regression,PRESERVE,0.88,0.7857142857142857,0.8301886792452831,28
Logistic Regression,ASK_USER,1.0,0.9523809523809523,0.975609756097561,21
Random Forest,OVERRIDE,0.967741935483871,1.0,0.9836065573770492,30
Random Forest,PRESERVE,1.0,0.9642857142857143,0.9818181818181818,28
Random Forest,ASK_USER,1.0,1.0,1.0,21
XGBoost,OVERRIDE,1.0,1.0,1.0,30
XGBoost,PRESERVE,1.0,1.0,1.0,28
XGBoost,ASK_USER,1.0,1.0,1.0,21
